"Année";"Grande région";"Division économique";"Position professionnelle";"Sexe";"Médiane";"P10";"P25";"P75";"P90"
"2022";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Sexe - total";7117;5643;6233;8604;10178
"2022";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Femmes";6665;5417;5994;7608;8686
"2022";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Hommes";7320;5822;6338;8914;10197
"2022";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Sexe - total";5992;4616;5164;7188;8504
"2022";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Femmes";5464;4356;4817;6372;7540
"2022";"Espace Mittelland";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Hommes";6517;5008;5630;7755;9085
"2022";"Espace Mittelland";"> 62 Activité informatiques";"Position professionnelle - total";"Sexe - total";8535;5427;6769;10476;13023
"2022";"Espace Mittelland";"> 62 Activité informatiques";"Position professionnelle - total";"Femmes";7221;5092;6005;8948;10981
"2022";"Espace Mittelland";"> 62 Activité informatiques";"Position professionnelle - total";"Hommes";8898;5710;7167;10809;13452
"2022";"Espace Mittelland";"> 62 Activité informatiques";"Cadre supérieur et moyen";"Sexe - total";11287;6850;8552;14555;17975
"2022";"Espace Mittelland";"> 62 Activité informatiques";"Cadre supérieur et moyen";"Femmes";9731;7093;8289;12420;16667
"2022";"Espace Mittelland";"> 62 Activité informatiques";"Cadre supérieur et moyen";"Hommes";11405;6750;8722;14923;18159
"2022";"Espace Mittelland";"> 62 Activité informatiques";"Cadre inférieur";"Sexe - total";10000;6894;8207;11322;12920
"2022";"Espace Mittelland";"> 62 Activité informatiques";"Cadre inférieur";"Femmes";8049;6118;6826;10333;11946
"2022";"Espace Mittelland";"> 62 Activité informatiques";"Cadre inférieur";"Hommes";10070;7236;8613;11587;13010
"2022";"Espace Mittelland";"> 62 Activité informatiques";"Responsable de l'exécution des travaux";"Sexe - total";9131;6339;7542;10617;12042
"2022";"Espace Mittelland";"> 62 Activité informatiques";"Responsable de l'exécution des travaux";"Femmes";;;;;
"2022";"Espace Mittelland";"> 62 Activité informatiques";"Responsable de l'exécution des travaux";"Hommes";9356;6473;7608;10735;12208
"2022";"Espace Mittelland";"> 62 Activité informatiques";"Sans fonction de cadre";"Sexe - total";7842;5220;6376;9492;11033
"2022";"Espace Mittelland";"> 62 Activité informatiques";"Sans fonction de cadre";"Femmes";6751;4927;5681;8319;10082
"2022";"Espace Mittelland";"> 62 Activité informatiques";"Sans fonction de cadre";"Hommes";8174;5311;6707;9764;11242
"2022";"Espace Mittelland";"> 63 Services d'information";"Position professionnelle - total";"Sexe - total";8760;5636;7101;10201;11649
"2022";"Espace Mittelland";"> 63 Services d'information";"Position professionnelle - total";"Femmes";7535;5169;6241;8924;9863
"2022";"Espace Mittelland";"> 63 Services d'information";"Position professionnelle - total";"Hommes";9591;6214;7756;10522;12160
"2022";"Espace Mittelland";"> 63 Services d'information";"Cadre supérieur et moyen";"Sexe - total";;;;;
"2022";"Espace Mittelland";"> 63 Services d'information";"Cadre supérieur et moyen";"Femmes";;;;;
"2022";"Espace Mittelland";"> 63 Services d'information";"Cadre supérieur et moyen";"Hommes";;;;;
"2022";"Espace Mittelland";"> 63 Services d'information";"Cadre inférieur";"Sexe - total";;;;;
"2022";"Espace Mittelland";"> 63 Services d'information";"Cadre inférieur";"Femmes";;;;;
"2022";"Espace Mittelland";"> 63 Services d'information";"Cadre inférieur";"Hommes";;;;;
"2022";"Espace Mittelland";"> 63 Services d'information";"Responsable de l'exécution des travaux";"Sexe - total";;;;;
"2022";"Espace Mittelland";"> 63 Services d'information";"Responsable de l'exécution des travaux";"Femmes";;;;;
"2022";"Espace Mittelland";"> 63 Services d'information";"Responsable de l'exécution des travaux";"Hommes";;;;;
"2022";"Espace Mittelland";"> 63 Services d'information";"Sans fonction de cadre";"Sexe - total";8292;5242;6744;9635;10365
"2022";"Espace Mittelland";"> 63 Services d'information";"Sans fonction de cadre";"Femmes";7386;4990;6201;8430;9439
"2022";"Espace Mittelland";"> 63 Services d'information";"Sans fonction de cadre";"Hommes";9154;5636;7302;10022;10685
"2022";"Nordwestschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Sexe - total";9183;5982;7222;11835;14854
"2022";"Nordwestschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Femmes";8228;5180;6424;10676;14004
"2022";"Nordwestschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Hommes";9593;6250;7533;12101;15074
"2022";"Nordwestschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Sexe - total";15733;9508;13203;19103;24595
"2022";"Nordwestschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Femmes";15253;8217;10428;18306;23420
"2022";"Nordwestschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Hommes";15905;10575;13805;19184;24609
"2022";"Nordwestschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Sexe - total";10520;8044;8921;12126;13545
"2022";"Nordwestschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Femmes";10122;7639;8563;11674;12932
"2022";"Nordwestschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Hommes";10648;8179;9015;12197;13674
"2022";"Nordwestschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Sexe - total";9744;7081;7513;11277;12646
"2022";"Nordwestschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Femmes";;;;;
"2022";"Nordwestschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Hommes";9428;7072;7513;11070;12646
"2022";"Nordwestschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Sexe - total";7999;5550;6534;10284;12509
"2022";"Nordwestschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Femmes";7120;4990;5850;8747;10879
"2022";"Nordwestschweiz";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Hommes";8443;5894;6887;10680;12938
"2022";"Nordwestschweiz";"> 62 Activité informatiques";"Position professionnelle - total";"Sexe - total";9286;5837;7256;11202;14317
"2022";"Nordwestschweiz";"> 62 Activité informatiques";"Position professionnelle - total";"Femmes";7780;4974;6200;9500;11542
"2022";"Nordwestschweiz";"> 62 Activité informatiques";"Position professionnelle - total";"Hommes";9524;6286;7577;11501;14750
"2022";"Nordwestschweiz";"> 62 Activité informatiques";"Cadre supérieur et moyen";"Sexe - total";11667;8529;9588;14464;18457
"2022";"Nordwestschweiz";"> 62 Activité informatiques";"Cadre supérieur et moyen";"Femmes";;;;;
"2022";"Nordwestschweiz";"> 62 Activité informatiques";"Cadre supérieur et moyen";"Hommes";12116;8889;9905;14855;18616
"2022";"Nordwestschweiz";"> 62 Activité informatiques";"Cadre inférieur";"Sexe - total";9920;7143;8730;12156;15197
"2022";"Nordwestschweiz";"> 62 Activité informatiques";"Cadre inférieur";"Femmes";;;;;
"2022";"Nordwestschweiz";"> 62 Activité informatiques";"Cadre inférieur";"Hommes";9920;7143;8771;12383;15536
"2022";"Nordwestschweiz";"> 62 Activité informatiques";"Responsable de l'exécution des travaux";"Sexe - total";9091;6327;7500;11000;15843
"2022";"Nordwestschweiz";"> 62 Activité informatiques";"Responsable de l'exécution des travaux";"Femmes";;;;;
"2022";"Nordwestschweiz";"> 62 Activité informatiques";"Responsable de l'exécution des travaux";"Hommes";9333;6667;8333;11142;16167
"2022";"Nordwestschweiz";"> 62 Activité informatiques";"Sans fonction de cadre";"Sexe - total";8333;5600;6864;10196;11967
"2022";"Nordwestschweiz";"> 62 Activité informatiques";"Sans fonction de cadre";"Femmes";7256;4824;5952;8805;10613
"2022";"Nordwestschweiz";"> 62 Activité informatiques";"Sans fonction de cadre";"Hommes";8661;5778;7059;10450;12143
"2022";"Nordwestschweiz";"> 63 Services d'information";"Position professionnelle - total";"Sexe - total";;;;;
"2022";"Nordwestschweiz";"> 63 Services d'information";"Position professionnelle - total";"Femmes";;;;;
"2022";"Nordwestschweiz";"> 63 Services d'information";"Position professionnelle - total";"Hommes";;;;;
"2022";"Nordwestschweiz";"> 63 Services d'information";"Cadre supérieur et moyen";"Sexe - total";;;;;
"2022";"Nordwestschweiz";"> 63 Services d'information";"Cadre supérieur et moyen";"Femmes";;;;;
"2022";"Nordwestschweiz";"> 63 Services d'information";"Cadre supérieur et moyen";"Hommes";;;;;
"2022";"Nordwestschweiz";"> 63 Services d'information";"Cadre inférieur";"Sexe - total";;;;;
"2022";"Nordwestschweiz";"> 63 Services d'information";"Cadre inférieur";"Femmes";..;..;..;..;..
"2022";"Nordwestschweiz";"> 63 Services d'information";"Cadre inférieur";"Hommes";;;;;
"2022";"Nordwestschweiz";"> 63 Services d'information";"Responsable de l'exécution des travaux";"Sexe - total";;;;;
"2022";"Nordwestschweiz";"> 63 Services d'information";"Responsable de l'exécution des travaux";"Femmes";..;..;..;..;..
"2022";"Nordwestschweiz";"> 63 Services d'information";"Responsable de l'exécution des travaux";"Hommes";;;;;
"2022";"Nordwestschweiz";"> 63 Services d'information";"Sans fonction de cadre";"Sexe - total";;;;;
"2022";"Nordwestschweiz";"> 63 Services d'information";"Sans fonction de cadre";"Femmes";;;;;
"2022";"Nordwestschweiz";"> 63 Services d'information";"Sans fonction de cadre";"Hommes";;;;;
"2022";"Zürich";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Sexe - total";8534;5517;6831;10871;13941
"2022";"Zürich";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Femmes";6979;4905;5448;9071;11524
"2022";"Zürich";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Position professionnelle - total";"Hommes";9100;6269;7428;11443;14582
"2022";"Zürich";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Sexe - total";13047;8358;10298;16927;23061
"2022";"Zürich";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Femmes";11670;8089;10505;15343;22621
"2022";"Zürich";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre supérieur et moyen";"Hommes";13193;8358;10278;17098;23061
"2022";"Zürich";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Sexe - total";10112;7554;8205;13689;18454
"2022";"Zürich";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Femmes";11035;6870;8541;14690;18291
"2022";"Zürich";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Cadre inférieur";"Hommes";9968;7554;8170;13516;18456
"2022";"Zürich";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Sexe - total";9440;6970;7908;10680;12142
"2022";"Zürich";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Femmes";9391;6716;7723;10775;11606
"2022";"Zürich";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Responsable de l'exécution des travaux";"Hommes";9459;7007;7908;10679;12228
"2022";"Zürich";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Sexe - total";7937;5253;6422;10024;12654
"2022";"Zürich";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Femmes";6530;4832;5255;8378;10382
"2022";"Zürich";"> 26 Fabrication de produit informatiques, électroniques et optiques / horlogerie";"Sans fonction de cadre";"Hommes";8540;6078;7065;10651;13393
"2022";"Zürich";"> 62 Activité informatiques";"Position professionnelle - total";"Sexe - total";10173;6400;7937;13031;17885
"2022";"Zürich";"> 62 Activité informatiques";"Position professionnelle - total";"Femmes";8836;5647;6944;11175;15438
"2022";"Zürich";"> 62 Activité informatiques";"Position professionnelle - total";"Hommes";10539;6700;8333;13521;18425
"2022";"Zürich";"> 62 Activité informatiques";"Cadre supérieur et moyen";"Sexe - total";13109;7619;10000;16985;24480
"2022";"Zürich";"> 62 Activité informatiques";"Cadre supérieur et moyen";"Femmes";11189;6754;8492;14981;21230
"2022";"Zürich";"> 62 Activité informatiques";"Cadre supérieur et moyen";"Hommes";13444;7954;10238;17500;24957
"2022";"Zürich";"> 62 Activité informatiques";"Cadre inférieur";"Sexe - total";11300;7623;9497;13382;17132
"2022";"Zürich";"> 62 Activité informatiques";"Cadre inférieur";"Femmes";10317;6500;7869;12096;14740
"2022";"Zürich";"> 62 Activité informatiques";"Cadre inférieur";"Hommes";11572;8102;9840;13574;17529
"2022";"Zürich";"> 62 Activité informatiques";"Responsable de l'exécution des travaux";"Sexe - total";10503;7098;8833;12039;14331
"2022";"Zürich";"> 62 Activité informatiques";"Responsable de l'exécution des travaux";"Femmes";9193;6158;7392;10992;13565
"2022";"Zürich";"> 62 Activité informatiques";"Responsable de l'exécution des travaux";"Hommes";10833;7500;9255;12265;14489
"2022";"Zürich";"> 62 Activité informatiques";"Sans fonction de cadre";"Sexe - total";9435;6096;7463;11731;15992
"2022";"Zürich";"> 62 Activité informatiques";"Sans fonction de cadre";"Femmes";8337;5516;6671;10494;14197
"2022";"Zürich";"> 62 Activité informatiques";"Sans fonction de cadre";"Hommes";9710;6357;7735;12064;16389
"2022";"Zürich";"> 63 Services d'information";"Position professionnelle - total";"Sexe - total";14741;6304;9314;18660;23863
"2022";"Zürich";"> 63 Services d'information";"Position professionnelle - total";"Femmes";11421;5532;6854;16676;22580
"2022";"Zürich";"> 63 Services d'information";"Position professionnelle - total";"Hommes";15374;7109;10764;19028;23968
"2022";"Zürich";"> 63 Services d'information";"Cadre supérieur et moyen";"Sexe - total";18099;12277;15479;22438;26686
"2022";"Zürich";"> 63 Services d'information";"Cadre supérieur et moyen";"Femmes";18545;11843;15087;23294;28333
